YEAR,PHL-LU,PHL-MI,PHL-VI
2023,58.86884611546116,10.078090779515366,5.526660032642211
2024,53.731908910320634,7.53302494454701,4.28792282281986
2025,48.416124246413595,6.357345645890542,3.5932058147963484
2026,45.62489155477426,4.358370801385744,2.8762166741028463
2027,50.31768129600874,5.112277321740652,2.4733345417146526
2028,61.285409891504855,10.273846548312372,2.1066060865635077
2029,68.00000000000593,10.2451239720041,5.795734890029093
2030,69.86000000000446,10.2451239720041,6.187383067682474
2031,69.74000000000463,10.2451239720041,6.187383067682474
2032,69.6200000000049,10.2451239720041,6.187383067682474
2033,69.50000000000529,10.2451239720041,6.187383067682475
2034,69.38000000000584,10.245123972004098,5.743987538402292
2035,69.2500000000068,10.435524931537964,5.743987538402298
2036,66.63000000000622,10.2451239720041,5.743987538402298
2037,64.00000000000655,10.245123972004086,5.743987538402298
2038,61.37000000000667,10.245123972004098,5.743987538402298
2039,58.750000000008846,10.2451239720041,5.743987538402298
2040,56.12000000001045,9.97,5.529999999999999
2041,52.13000000001138,9.259999999999998,5.130000000000225
2042,48.14000000001384,8.560000000000027,4.740000000000256
2043,44.160000000016105,7.85000000000008,4.350000000000701
2044,40.17000000001656,7.140000000000278,3.9600000000010986
2045,36.18000000001626,6.430000000000638,3.560000000001204
2046,35.010000000016646,6.220000000000637,3.450000000001205
2047,33.84000000001639,6.010000000001309,3.3300000000012044
2048,32.67000000001603,5.800000000002058,3.2200000000012636
2049,31.500000000015866,5.600000000002629,3.100000000001451
2050,30.320000000015675,5.390000000002629,2.9900000000014586
