YEAR,battery-technology,bioenergy-power,coal-subcritical,coal-supercritical,coal-ultrasupercritical,gas-CCGT,gas-CCGT-CCS,gas-OCGT,geo-power,hydropower,nuclear-power,oil-internal-combustion-engine,solar-pv,windoffshore-power,windonshore-power
2023,0.0,14.358656160005744,211.39181758378908,56.140387200022445,0.0,68.77481147494478,0.0,5.928515712002372,43.973798400017586,30.141541152,0.0,5.729827446060846,8.26714926,0.0,3.0713436
2024,5.457778956376429,18.228936988807295,181.3564971650726,49.61697638401985,0.0,91.76811757008919,0.0,5.0815848960020435,67.45968492962214,32.2115296601,0.0,4.727185220161891,22.2889315608,0.0,4.0384476
2025,5.240969112944965,19.114467868807647,151.55633952006062,47.30778432001892,0.0,123.7616754708604,0.0,4.234654080001698,78.88744543818677,33.7873047401,0.0,3.7183145212814877,36.884326160149996,0.0,8.970007859999999
2026,3.9781858705197974,20.571568900880028,118.07753901124723,42.61447065601704,0.4498890524394075,165.79360779469874,0.0,3.3877232640013535,92.20438070819594,33.7873047401,0.0,3.517312256641407,43.63828721135,0.0,17.735904215999998
2027,3.39183702493345,24.73235517668229,94.9711295333022,67.3558993281551,19.867680000007947,170.9869305600684,0.0,2.5407924480010164,99.05531872725454,33.7873047401,0.0,2.280751637760912,43.96575703535,0.0,18.345179736
2028,4.590465465742757,24.732355176682287,123.86646772944434,88.78014720003551,19.867680000007947,170.9869305600684,0.0,1.6938616320006776,89.2034723272506,33.7873047401,0.0,1.437562883520575,43.96575703535,0.0,18.345179736
2029,3.0758992887608536,24.73235517668229,195.31910690830892,88.7801472000355,19.867680000007947,142.709070613655,0.0,0.8469308160003487,89.2034723272506,33.8315970521,0.0,0.8431887542403372,43.96575703535,0.0,18.345179736
2030,4.209646032,24.73235517668229,220.8723782340627,90.50178835591908,20.572808205136436,107.48318123705066,0.0,0.0,107.71937430384543,42.365967133699996,0.0,0.0,68.08402300163479,3.2119303569047983,18.345179736
2031,5.5627910252395925,31.94727832617621,219.31478554819358,90.50178835591908,20.572808205136436,110.51589085589625,3.105628788413541e-14,0.0,112.1833515646077,48.3122817810421,0.0,0.0,91.50012563663381,8.362214517578614,18.345179736
2032,7.607957328302794,46.04181572804357,215.34824888279303,90.50178835591908,20.572808205136436,118.47594407953733,0.0,1.1303051997419788,119.58451200004784,60.42163018278583,0.0,0.0,97.30100433483231,14.388046985566978,18.345179736
2033,8.429243718639093,56.215180473652666,211.7399788877802,90.50178835591908,20.572808205136436,126.31639123216821,0.0,1.7504469773209608,119.58451200004782,87.93212500532522,0.0,0.0,101.13643294470289,21.438270973113365,18.145714535999996
2034,10.159438031999931,68.42321816838358,202.04832145057114,90.50178835591908,20.572808205136436,147.4890330175165,0.0,1.7127813971134642,119.58451200004784,101.00054032295685,0.0,0.0,112.39009798643222,29.687033038542637,18.145714535999996
2035,11.06980007476459,82.44845060206045,193.54812903753268,90.50178835591908,20.572808205136436,170.51919944808986,0.0,1.6687126682707891,119.58451200004784,122.06058328564792,0.0,0.0,112.39009798643222,39.33808465509489,18.145714535999996
2036,34.483126350703415,86.85014400003475,192.19299840002702,80.21611773744638,20.572808205136436,174.54612707111642,0.0,0.34333574447516063,119.58451200004782,122.12406856492792,0.0,0.0,168.35024482495376,50.62981504646101,18.145714535999996
2037,50.850476929185724,86.85014400003475,192.19299840002702,67.48471315588355,18.134979709927535,183.3088952883255,0.0,1.5568265726120205,119.58451200004784,129.09186298566797,0.0,0.0,219.25301255573552,63.84113960435939,18.145714535999996
2038,66.0825602582644,86.85014400003475,171.47669889953832,67.48471315588355,17.26152820512849,210.2341683722474,1.651069173762283e-14,1.4862455236041234,119.58451200004784,137.15872040295514,0.0,0.0,255.8786050648689,79.29838933710049,22.28668261686798
2039,71.24864569486938,86.85014400003475,138.74063421461608,70.948599274301,17.26152820512849,261.7933291041803,0.0,0.33572502479623073,119.58451200004784,137.22220568223514,0.0,0.0,281.0596573735106,97.38337152440756,30.82081839221554
2040,81.51206676467739,86.85014400003475,111.72643436944814,67.40950983501914,17.26152820512849,311.9907825221342,0.0,0.0,119.58451200004784,137.28569096151512,0.0,0.0,309.7162975730242,116.36983823863147,40.80575724937218
2041,85.31684770847492,86.85014400003475,82.71567581162093,57.81367378626355,17.26152820512849,361.23689158774573,0.0,0.0,119.58451200004784,137.28569096151506,0.0,0.0,344.1952203953544,137.18902132023572,53.97926709691153
2042,92.20323649930364,86.85014400003475,65.83795701784175,31.797156176052393,17.12206710378337,423.4617240849444,0.0,0.0,119.58451200004784,137.28569096151506,0.0,0.0,356.38749761349266,167.2168444239711,76.56804494918559
2043,95.8867687124717,86.45233295889122,52.52130289699694,17.716057745098425,5.1085468803403185,470.57731816696855,8.733740651720268,0.0,119.58451200004784,137.28569096151512,0.0,0.0,364.2921154322689,202.35530665488648,106.15138655257427
2044,93.6384848844534,76.4072214040487,38.912767641467745,10.789876358383435,4.201517188983857,464.8903041951456,60.91947576271799,0.0,119.58451200004784,138.53922480001995,0.0,0.0,384.1092596255383,242.96824192319082,123.78925439751043
2045,99.99999999999999,77.60763715433399,27.1131709629714,2.6164554724072224,4.201517188983857,455.1595805849647,112.8136944879819,0.0,119.58451200004784,138.53922480001995,4.240383385452434,0.0,387.48041242370846,289.9845628359954,145.77048737262248
2046,100.0,78.66633055185176,19.65586422991401,1.804448533514721,2.9618292699087974,463.3497694443793,119.74410124851525,0.0,119.58451200004784,138.53922480001995,22.68554806254996,0.0,390.9981587842525,344.50562830699977,168.50508567504747
