YEAR,carbon-capture-and-storage-transmission-and-distribution,coal-subcritical,coal-supercritical,coal-supercritical-CCS,coal-ultrasupercritical,gas-CCGT,gas-CCGT-CCS,gas-OCGT,oil-internal-combustion-engine
2023,0.0,52.94288041132146,14.1493293766308,0.0,0.0,5.639534540945482,0.0,0.8714918096643486,0.8703607890566419
2024,0.0,44.05218708834808,12.547984173937074,0.0,0.0,7.487633000747467,0.0,0.7469929797122953,0.7180594349425914
2025,0.0,35.87338556439835,11.197752548548479,0.0,0.0,10.108231468610759,0.0,0.622494149760249,0.564811975782658
2026,0.0,27.94895348396222,10.086845204279234,0.0,0.32697773844318595,13.464427551986176,0.0,0.49799531980819917,0.5342797317838298
2027,0.0,23.15126296292995,15.827025818974782,0.0,4.184133408001673,14.020928305925612,0.0,0.37349648985614936,0.3464461737758826
2028,0.0,31.14328927654388,23.8501480739987,0.0,4.184133408001673,14.02092830592561,0.0,0.24899765990409958,0.21836580200677536
2029,0.0,46.94928961757595,21.014260842248405,0.0,4.184133408001673,11.640595792491938,0.0,0.12449882995204979,0.12808037176910725
2030,0.0,51.95862020028781,21.0142608422484,0.0,4.184133408001673,9.135492589153145,0.0,0.0,0.0
2031,0.0,51.47433905892743,21.014260842248405,0.0,4.184133408001673,9.478853678521567,1.1853088233926657e-15,0.02092005199212531,0.0
2032,0.0,50.820231581125455,21.014260842248405,0.0,4.184133408001673,10.002146153570369,0.0,0.031735054745562395,0.0
2033,0.0,49.87856985500883,21.014260842248405,0.0,4.184133408001674,10.834423085256093,0.0,0.021119849176869303,0.0
2034,0.0,47.970449017214236,21.014260842248405,0.0,4.1841334080016725,11.955687496145023,0.0,0.24458074680289188,0.0
2035,0.0,45.8460972665163,21.014260842248405,0.0,4.184133408001673,13.898883136148516,2.7210838585941707e-15,0.288191736,0.19794608103216751
2036,0.0,45.4920827212864,20.197324538757545,0.0,4.184133408001673,12.745570842366998,0.0,0.0,0.0
2037,0.0,45.4920827212864,16.653961347045573,0.0,4.184133408001673,13.426402421269987,-1.4128545572161004e-14,0.23253161280932083,0.0
2038,0.0,43.96783408459865,16.172737892317972,0.0,3.4867778399999994,13.666351434229613,0.0,0.06541025926683398,0.0
2039,0.0,36.7138190665499,16.185866766808346,0.0,3.4867778399999994,18.142027235488612,0.0,0.21062060156838053,0.0
2040,0.0,31.07691081218125,15.566119142399998,0.0,3.4867778399999994,21.390162394144205,0.0,0.10002981128499502,0.0
2041,0.0,24.56560652902575,15.073562290222894,0.0,3.0993580799999996,23.781473100762955,0.0,0.0,0.0
2042,0.0,17.69116260381166,11.688511902668168,0.0,3.0993580799999996,28.960967413534302,0.0,0.0,0.0
2043,-0.25640393352628127,13.599451404008434,5.840039084768809,0.0,2.3245185599999996,34.5675016252924,0.28489325947353195,0.0,0.0
2044,-3.750006691904186,9.946164108097538,3.8915297855999995,0.0,1.3809664047945311,35.63467229131595,4.1666741021140945,0.0,0.0
2045,-8.201471029220482,6.334940500578325,3.5563508040357843,0.0,0.7748395199999999,34.59259461660536,9.112745588019111,0.0,0.0
2046,-8.80189067656318,5.8972477801407805,1.755933714740706,0.0,0.7748395199999999,35.273991132189444,9.779878529510732,0.0,0.0
2047,-9.769015610855575,4.185426873550081,1.2265698495657857,0.0,0.7748395199999999,35.90771757792343,10.854461789835186,0.0,0.0
2048,-10.000000000004,2.2116899107251653,0.8476430508900976,0.0,0.7748395199999999,36.74471640729698,11.111111111111112,0.0,0.0
2049,-10.00000000000401,0.3359882698884419,0.405350838161507,0.0,0.38741975999999995,37.960130020862884,11.111111111111121,0.0,0.0
2050,-10.000000000004,0.0,0.0,0.0,0.0,37.58888888891265,11.111111111111109,0.0,0.0
