YEAR,battery-technology,bioenergy-power,coal-subcritical,coal-supercritical,coal-supercritical-CCS,coal-ultrasupercritical,gas-CCGT,gas-CCGT-CCS,gas-OCGT,geo-power,hydropower,nuclear-power,oil-internal-combustion-engine,solar-pv,transmission,windoffshore-power,windonshore-power
2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,81.65982066584777,6.980654667274371,0.0,77.64129340515039,0.0,132.74841678674636,136.4601793627168,0.0,0.0,488.0821916176364,16.376700487197954,0.0,1.6001803913877661,188.20491885723678,0.0,0.0,29.0095689297328
2025,89.94488997090357,14.402809336751325,0.0,137.9081907083038,0.0,132.74841678674636,136.4601793627168,0.0,0.0,751.1523582495053,42.36902105641951,0.0,6.186379453637995,434.7227348290852,0.0,0.0,130.72937414024884
2026,89.94488997090357,26.50571394243778,0.0,198.05455421685093,0.0,132.74841678674636,136.4601793627168,0.0,0.0,1056.1790461987464,42.36902105641951,0.0,6.186379453637995,563.6202558439936,0.0,0.0,347.0105252341063
2027,89.94488997090357,62.62381624472879,85.58721537951602,198.05455421685093,0.0,132.74841678674636,136.4601793627168,0.0,0.0,1257.1648380345282,42.36902105641951,0.0,6.186379453637995,569.5015945994847,0.0,0.0,364.42326542662136
2028,89.94488997090357,62.62381624472879,85.58721537951602,198.05455421685093,0.0,132.74841678674636,136.4601793627168,0.0,0.0,1257.1648380345282,42.36902105641951,0.0,6.186379453637995,569.5015945994847,0.0,0.0,364.42326542662136
2029,89.94488997090357,62.62381624472879,85.58721537951602,198.05455421685093,0.0,132.74841678674636,247.36236250794758,0.0,0.0,1257.1648380345282,43.43407279009693,0.0,6.186379453637995,569.5015945994847,0.0,0.0,364.42326542662136
2030,89.94488997090357,62.62381624472879,85.58721537951602,208.3954227081514,0.0,137.40356516607272,247.36236250794758,0.0,0.0,1703.7247018830024,154.9370275420295,0.0,23.21948085404303,1018.7448222011544,0.0,102.60785832169728,364.42326542662136
2031,108.90254782801223,119.90340963114477,85.58721537951602,208.3954227081514,0.0,137.40356516607272,253.85030405471414,0.0,0.0,2430.692158752334,302.61470904165935,0.0,37.341528159324056,1444.0049715749403,0.0,264.34107046656663,364.42326542662136
2032,127.36730658083606,230.79348987580408,85.58721537951602,208.3954227081514,0.0,137.40356516607272,260.3058058937469,0.0,0.0,2595.194412881162,590.6959978209863,0.0,47.35356195735886,1546.7210603982355,11.392215098037768,450.35205508650233,364.42326542662136
