YEAR,battery-technology,bioenergy-power,coal-unspecified,gas-CCGT,gas-OCGT,hydropower,oil-internal-combustion-engine,solar-pv,windonshore-power
2023,0.0,0.0,0.0,0.0,0.0,0.5167961999999999,3.7934497140143026,0.0007884,7.679709791999999e-05
2024,0.0,0.0,0.0,0.0,0.0,0.5167961999999999,3.7378941584576366,0.0007884,7.679709791999999e-05
2025,0.0,0.006671204833428035,0.0,0.0,0.0,0.5167961999999999,3.5681191702046204,0.099622224,0.064346756517504
2026,0.0,0.4488423253167708,0.0,0.0,0.0,0.5167961999999999,2.93663232,0.23403622463999998,0.1414707078210048
2027,0.0,0.4488423253167708,0.0,0.0,0.0,0.5167961999999999,2.6946138708998473,0.41683926551039996,0.23401944938520575
2028,0.0,0.4488423253167708,0.0,0.0,0.0,0.5167961999999999,2.38601376,0.6654514010941439,0.3162296469213078
2029,0.0,0.4488423253167708,0.0,0.0,0.0,0.5167961999999999,2.1412943999999996,0.9435040944285883,0.3162296469213078
2030,0.08831048501307893,0.42078967998447264,0.028382399999999995,0.0094608,0.009460800000000002,0.5167961999999999,1.8353952000000002,1.295421648670103,0.3162296469213078
2031,0.16658161412991448,0.42078967998447264,0.05960304,0.01951599817485746,0.018543168000000002,0.5167961999999999,1.71303552,1.431588502249217,0.3162296469213078
2032,0.1897439940247037,0.42078967998447264,0.09394574400000003,0.09533595532966976,0.03460467860216256,0.513705990319757,1.65185568,1.47825,0.32127300000000003
2033,0.2127051834085145,0.42078967998447264,0.13172271840000005,0.13329229830948247,0.1132213302204487,0.5842414321483157,1.529496,1.47825,0.32127300000000003
2034,0.22146481290439812,0.42461262108359604,0.17327739024000002,0.17388126249794933,0.14439782520000002,0.6070195370646093,1.46831616,1.4782499999999998,0.32127300000000003
2035,0.21406458522096988,0.40730461095843534,0.21898752926400003,0.15485994356752755,0.0535302849312,0.9322741445442597,1.34595648,1.4782499999999998,0.32127300000000003
2036,0.21004014119041087,0.39926481634383204,0.2692686821904,0.1658022473182203,0.06282935917776,1.0194174482796259,1.28477664,1.4782499999999998,0.32127300000000003
2037,0.1958083502180724,0.33135467781211514,0.32457795040943993,0.1803210835608,0.068522011753104,1.2548232349885353,1.16241696,1.4782499999999998,0.32127300000000003
2038,0.19077738858379645,0.3034225533250735,0.385418145450384,0.21412119191688,0.0770836290900768,1.4512909840718016,1.10123712,1.4782499999999998,0.32127300000000003
2039,0.1892678673481637,0.2910056743742736,0.45234235999542244,0.251301311108568,0.15074143925670608,1.519250462895545,0.97887744,1.47825,0.32127300000000003
2040,0.17526976988098186,0.30935933217975037,0.5259589959949648,0.29219944221942484,0.18862417473277054,1.5192504628955452,0.9176975999999999,1.4782499999999998,0.32127300000000003
2041,0.16376604441616038,0.32471552041441876,0.6069372955944611,0.3371873864413673,0.27950712398444033,1.5192504628955452,0.7953379200000001,1.4782499999999998,0.32127300000000003
2042,0.15111194640416917,0.3416073274755509,0.6960134251539073,0.38667412508550403,0.3060625601617233,1.519250462895545,0.73415808,1.4782499999999998,0.32127300000000003
2043,0.135650176437388,0.38405638942072495,0.7939971676692977,0.4411095375940544,0.3540754507184991,1.519250462895545,0.6117984,1.4782499999999998,0.32127300000000003
2044,0.12385620736429764,0.4000530929869345,0.9017792844362277,0.5009884913534598,0.34141129114012664,1.5192504628955452,0.55061856,1.4782499999999998,0.32127300000000003
2045,0.09387695544183257,0.5295826142968241,0.9985072820275307,0.5566472066369165,0.2917031174595716,1.5192504628955452,0.43733500400332087,1.4782499999999998,0.32127300000000003
2046,0.05020257321966674,0.5484089666620978,1.089913712358706,0.6061371083156482,0.3196544372688432,1.5192504628955452,0.3670790400000001,1.4782499999999998,0.32127300000000003
2047,0.05020257321966674,0.6296243195604934,1.1832798395799784,0.6072565319573905,0.3595038809957275,1.5192504628955452,0.2737509147328035,1.4782499999999998,0.32127300000000003
2048,0.0449336442952846,0.823760685971006,1.0330114339044525,0.6904412622947411,0.40333826909530024,1.5192504628955452,0.22450647560143586,1.47825,0.32127300000000003
2049,0.02510128660983337,0.839282055759899,0.7742830901373858,1.0634823889859382,0.45155609600483027,1.5192504628955452,0.16649515885015348,1.4782499999999998,0.32127300000000003
2050,0.012550643304916686,0.8639545611546837,0.3403749151681606,1.538334970852607,0.6185621304967386,1.519250462895545,0.1535476875269163,1.3794161759999999,0.32127300000000003
