unit_id,plant_id,unit_name,plant_name,operating_status,primary_fuel,technology,capacity,capacity_rating,admin_0,admin_1,latitude,longitude,location_accuracy,secondary_fuel,tertiary_fuel,quaternary_fuel,quinary_fuel,start_date,retired_date,planned_retire_date,is_captive,captive_use,captive_sector,has_ccs,constructed_before,constructed_after,construction_date,river,operating_status_detail
TZPWR2403000054335U000,TZPWR2403000054335,Attock solar farm,Attock solar farm,inactive,NA,photovoltaic-unspecified,50,MW,PAK,PAK-SD,33.5691,72.635,approximate,NA,NA,NA,NA,,,,FALSE,,,FALSE,,,,,cancelled
TZPWR2403000054336U000,TZPWR2403000054336,Azad Pattan hydroelectric plant,Azad Pattan hydroelectric plant,committed,water,hydro-reservoir,701,MW,PAK,PAK-JK,33.7764,73.5633,exact,NA,NA,NA,NA,01/01/2027,,,FALSE,,,FALSE,,,,Jhelum River,pre_construction
TZPWR2403000054337U000,TZPWR2403000054337,Bahalwalnager (Asia Petroleum) solar farm,Bahalwalnager (Asia Petroleum) solar farm,inactive,NA,photovoltaic-unspecified,30,MW,PAK,PAK-PB,33.0282,72.0575,approximate,NA,NA,NA,NA,,,,FALSE,,,FALSE,,,,,shelved
TZPWR2403000054338U000,TZPWR2403000054338,Bahawalpur power station - 1,Bahawalpur power station,committed,agricultural-waste-solids,biomass,31,MW,PAK,PAK-PB,29.2923,71.5088,exact,NA,NA,NA,NA,01/01/2024,,,FALSE,,,FALSE,,,,,pre_construction
TZPWR2403000054339U000,TZPWR2403000054339,Balakot hydroelectric plant,Balakot hydroelectric plant,committed,water,hydro-run-of-river,300,MW,PAK,PAK-NW,34.5001,73.2501,approximate,NA,NA,NA,NA,01/01/2027,,,FALSE,,,FALSE,,,,Kunhar River,pre_construction
TZPWR2403000054340U000,TZPWR2403000054340,Balloki power station - 1,Balloki power station,operating,liquified-natural-gas,combined-cycle,1320,MW,PAK,PAK-PB,31.036966,73.926699,exact,NA,NA,NA,NA,01/01/2018,,,FALSE,,,FALSE,,,,,operating
TZPWR2403000054341U000,TZPWR2403000054341,Bhikki power station - 1,Bhikki power station,operating,liquified-natural-gas,combined-cycle,1180,MW,PAK,PAK-PB,31.603651,73.904604,exact,NA,NA,NA,NA,01/01/2018,,,FALSE,,,FALSE,,,,,operating
TZPWR2403000054342U000,TZPWR2403000054342,Bhit solar project,Bhit solar project,operating,NA,photovoltaic-unspecified,10,MWp/dc,PAK,PAK-SD,26.173,67.496,approximate,NA,NA,NA,NA,01/01/2019,,,FALSE,,,FALSE,,,,,operating
TZPWR2403000054343U000,TZPWR2403000054343,Bin Qasim Dongfang power station - Unit 1,Bin Qasim Dongfang power station,inactive,coal-unspecified,coal-unspecified,660,MW,PAK,PAK-SD,24.815006,67.363186,approximate,NA,NA,NA,NA,,,,FALSE,,,FALSE,,,,,cancelled
TZPWR2403000054343U001,TZPWR2403000054343,Bin Qasim Dongfang power station - Unit 2,Bin Qasim Dongfang power station,inactive,coal-unspecified,coal-unspecified,660,MW,PAK,PAK-SD,24.815006,67.363186,approximate,NA,NA,NA,NA,,,,FALSE,,,FALSE,,,,,cancelled
