YEAR,HTI
2023,3.88
2024,3.83
2025,3.83
2026,3.85
2027,3.88
2028,3.9
2029,3.93
2030,3.98
2031,4.03
2032,4.13
2033,4.22
2034,4.29
2035,4.4
2036,4.48
2037,4.59
2038,4.78
2039,4.88
2040,4.98
2041,5.08
2042,5.19
2043,5.3
2044,5.4
2045,5.51
2046,5.62
2047,5.73
2048,5.84
2049,5.95
2050,6.06
