YEAR,battery-technology,bioenergy-power,coal-unspecified,gas-CCGT,gas-OCGT,hydropower,oil-internal-combustion-engine,solar-pv,windonshore-power
2023,0.0,0.0,0.0,0.0,0.0,0.5167961999999999,3.793449714014302,0.0007884,7.679709791999999e-05
2024,0.0,0.0,0.0,0.0,0.0,0.5167961999999999,3.7378941584576353,0.0007884,7.679709791999999e-05
2025,0.0,0.33225885503805186,0.0,0.0,0.0,0.5167961999999999,3.24253152,0.099622224,0.064346756517504
2026,0.0,0.4488423253167726,0.0,0.0,0.0,0.5167961999999999,2.9366323200000006,0.23403622463999998,0.1414707078210048
2027,0.0,0.4488423253167726,0.0,0.0,0.0,0.5167961999999999,2.694613870899842,0.41683926551039996,0.23401944938520575
2028,0.0,0.4488423253167726,0.0,0.0,0.0,0.5167961999999999,2.38601376,0.6654514010941439,0.31622964692130556
2029,0.0,0.4488423253167726,0.0,0.0,0.0,0.5167961999999999,2.1412944,0.9435040944285883,0.31622964692130556
2030,0.088310485013078,0.4207896799844743,0.028382399999999995,0.009460799999999998,0.009460799999999998,0.5167961999999999,1.8353952000000002,1.2954216486701067,0.31622964692130556
2031,0.1460231438377302,0.4207896799844743,0.05960304000000001,0.04966920000000001,0.018543168000000002,0.5167961999999999,1.7130355200000003,1.3991738686919288,0.31622964692130556
2032,0.18693215037050437,0.4207896799844743,0.09394574400000003,0.09377538210158892,0.03741652225636063,0.5121454170916647,1.65185568,1.47825,0.32127300000000003
2033,0.20989333975431507,0.4207896799844743,0.13172271840000008,0.13173172508140168,0.1160331738746481,0.5826808589202297,1.529496,1.47825,0.32127300000000003
2034,0.21940036222070147,0.42305204785550976,0.17327739024000005,0.17455621729422635,0.14505635405659686,0.6070195370646073,1.46831616,1.47825,0.32127300000000003
2035,0.21265866339387018,0.4087105327855366,0.21898752926400006,0.1548599435675276,0.0535302849312,0.9307135713161704,1.34595648,1.47825,0.32127300000000003
2036,0.20863421936331109,0.40067073817093346,0.2692686821904,0.16580224731822057,0.06282935917776,1.0178568750515389,1.2847766400000002,1.47825,0.32127300000000003
2037,0.19440242839097255,0.3327605996392161,0.32457795040943993,0.1803210835608,0.068522011753104,1.2532626617604463,1.16241696,1.47825,0.32127300000000003
2038,0.18953456780212644,0.3487787182846796,0.38541814545038394,0.21412119191688,0.1248544048683072,1.358027333047982,1.10123712,1.47825,0.32127300000000003
2039,0.1846877765318683,0.3711134293082671,0.4523423599954224,0.251301311108568,0.23135300418048665,1.358027333047982,0.9788774400000001,1.47825,0.32127300000000003
2040,0.1877425648535435,0.3913429045505243,0.5259589959949648,0.2921994422194248,0.2692357396565508,1.358027333047982,0.9176976000000001,1.47825,0.32127300000000003
2041,0.18949264295368345,0.40815701117731934,0.6069372955944613,0.33718738644136725,0.33718738644136725,1.358027333047982,0.8182692224668542,1.47825,0.32127300000000003
2042,0.19022204127715236,0.42532531524645995,0.6960134251539073,0.38786981267441106,0.386674125085504,1.358027333047982,0.73415808,1.47825,0.32127300000000003
2043,0.18876521331474622,0.43858230597895775,0.7939971676692976,0.4432128021244258,0.40929375212622865,1.358027333047982,0.6670167014077298,1.47825,0.32127300000000003
2044,0.18471403808492223,0.4444897185493614,0.9017792844362278,0.5014475044450636,0.40292221742652584,1.358027333047982,0.6121294862863995,1.47825,0.32127300000000003
2045,0.17319305075425162,0.4431460613939364,1.0203396128798505,0.5725703715756294,0.39591352925551954,1.358027333047982,0.5517535496511583,1.47825,0.32127300000000003
2046,0.13127918694935148,0.40609030588028183,1.150755974167835,0.6773794576383031,0.3856114986288571,1.358027333047982,0.4814975856478375,1.47825,0.32127300000000003
2047,0.11260650027609459,0.3926586509601686,1.2942139715846188,0.7614045382198641,0.3728522963505528,1.358027333047982,0.40037359153496227,1.47825,0.32127300000000003
2048,0.11260650027609459,0.39756271162375784,1.4520177687430802,0.783511757106228,0.40333826909530024,1.358027333047982,0.30729476430402186,1.47825,0.32127300000000003
2049,0.11260650027609459,0.42876740514486983,1.4520177687430802,0.8843227756435358,0.45155609600483027,1.358027333047982,0.2492834475527396,1.47825,0.32127300000000003
2050,0.0,0.11658347027872074,1.4520177687430802,1.2398310606973866,0.4954120261828019,1.358027333047982,0.37077249838114146,1.3794161759999999,0.32127300000000003
