YEAR,MDG
2023,1.2624838416005053
2024,1.2119844879364847
2025,1.1614851342724648
2026,1.15573192688015
2027,1.315894717141639
2028,1.474009859295421
2029,1.59944483476864
2030,0.9342380427843736
2031,0.8837386891203535
2032,0.9363180295297197
2033,1.140236573894369
2034,1.3534982396311954
2035,1.4325472719365733
2036,1.402202260512561
2037,1.3718572490885488
2038,1.2532309625834221
2039,1.2455489202517227
2040,1.2906700357307443
2041,1.3357621540531435
2042,0.8499404319259931
2043,0.8748879388843844
2044,0.965676856564223
2045,1.0736532276717445
2046,1.188960632052866
2047,1.3274072715590663
2048,1.4655210399333902
2049,1.6125631236346485
2050,1.6935896162049977
