YEAR,MDG
2023,9.06
2024,9.54018
2025,10.04580954
2026,10.57823744562
2027,11.13888403023786
2028,11.729244883840465
2029,12.350894862684008
2030,13.005492290406258
2031,13.69478338179779
2032,14.420606901033072
2033,15.184899066787823
2034,15.989698717327578
2035,16.83715274934594
2036,17.72952184506127
2037,18.669186502849517
2038,19.658653387500543
2039,20.70056201703807
2040,21.797691803941085
2041,22.952969469549963
2042,24.16947685143611
2043,25.45045912456222
2044,26.799333458164014
2045,28.219698131446705
2046,29.71534213241338
2047,31.290255265431288
2048,32.948638794499146
2049,34.694916650607595
2050,36.53374723308979
