YEAR,battery-technology,bioenergy-power,coal-subcritical,gas-CCGT,gas-OCGT,hydropower,oil-internal-combustion-engine,solar-pv,windonshore-power
2023,0.0,1.4562341333310949,2.128680000000852,0.0,0.0,2.6364095999999995,3.4847280000013936,0.3737016,0.0
2024,0.0,1.4765293799978503,2.0435328000008166,0.0,0.0,2.6364095999999995,3.345338880001338,0.3737016,0.7384679999999996
2025,0.0,2.1078976537712717,1.9583856000007835,0.0,0.0,2.6364095999999995,3.2059497600012823,0.5294106,0.7384679999999996
2026,0.0,2.1286800000008514,2.0622799981068143,0.0,0.0,3.2434775999999994,3.0665606400012266,0.5294106,0.7384679999999996
2027,0.0,0.0,2.8030290305254675,0.0,0.0,5.324853599999999,2.996866080001199,0.5294106,0.7384679999999996
2028,0.0,0.0,3.599227397985518,0.0,0.0,5.324853599999999,2.8574769600011427,0.5294106,0.7384679999999996
2029,0.0,0.17287665555831816,4.257360000001705,0.0,0.0,5.324853599999999,2.718087840001087,0.5294106,0.7384679999999996
2030,0.0,0.0,1.5752232000006297,0.0,0.0,7.7611648541505565,2.5786987200010314,0.524943,2.0293029262666678
2031,0.0,0.0,1.490076000000596,0.0,0.0,8.328347369833988,2.4393096000009757,0.5227092,2.4557651637222215
2032,0.0,0.0,1.8404112422201917,0.0,0.0,8.8631928,2.29992048000092,0.5294106,2.5107911999999994
2033,0.0,0.0,2.8301178572969192,0.0,0.0,8.8631928,2.1605313600008644,0.5294106,2.5107911999999994
2034,0.0,0.0,3.7951967396325017,0.0,0.0,8.8631928,2.0908368000008366,0.5294106,2.5107911999999994
2035,0.0,0.1744650388444444,4.257360000001703,0.0,0.0,8.8631928,1.9514476800007807,0.9750111121752868,2.5107911999999994
2036,0.15175625125333364,0.23727397904666675,4.257360000001703,0.0,0.0,8.8631928,1.8120585600007248,2.04440148703979,2.5107911999999994
2037,0.7292082535945958,0.18857846834000047,4.257360000001703,0.0,0.0,8.8631928,1.6726694400006692,3.277915253113184,2.5107911999999994
2038,1.434303148994576,0.13572761779160095,3.8843930583831368,0.0,0.0,8.8631928,1.5332803200006135,4.943959044857981,2.5107911999999994
2039,1.9702384995076185,0.38232954076357,3.9795622942484825,0.001663548329090151,0.0,8.8631928,1.3938912000005579,5.89909469184719,2.5107911999999994
2040,2.2941721396665598,0.31865937788492993,4.026489293715562,0.6014928217092121,0.0,8.8631928,1.3241966400005296,6.606320981456451,2.5107911999999994
2041,2.4691739657953398,0.42332863104210766,4.099490236052277,1.31073436677398,0.0,8.8631928,1.184807520000474,7.144108945964515,2.5107911999999994
2042,2.341312299952672,0.41615108991512756,0.8514720000003405,5.131822242022213,0.0,8.8631928,1.045418400000418,8.07103801398414,2.5107911999999994
2043,2.7356976553548376,0.5675312058100923,0.8305014065148754,5.866654654954078,0.0,8.8631928,0.9060292800003624,8.770349143187273,2.5107911999999994
2044,2.871484338232615,0.6056748174968145,0.8514720000003405,7.283364284537506,0.0,8.8631928,0.7666401600003067,8.934612062031718,2.5107911999999994
2045,3.014467715399283,0.6384524172413155,0.8514720000003405,8.970210412970845,0.0,8.8631928,0.6272510400002509,8.934612062031716,2.5107911999999994
2046,3.1650292114659493,0.6655796064080379,0.8514720000003405,10.746459386204181,0.0,8.8631928,0.4878619200001952,8.934612062031718,2.5107911999999994
2047,3.3145283434293336,0.6140483121077134,0.8514720000003405,12.619863596182306,0.0,8.8631928,0.41816736000016724,8.934612062031718,2.5107911999999994
2048,3.2269087385173796,0.544105877213414,0.8514720000003405,14.674238959576646,0.0,8.8631928,0.27877824000011153,8.934612062031718,2.5107911999999994
2049,3.1842506574977536,0.46306886993265967,0.8514720000003405,16.837496217201895,0.0,8.8631928,0.13938912000005577,8.934612062031718,2.5107911999999994
2050,3.679871374133562,2.1286800000008514,0.8514720000003405,16.8374962172019,0.521796934925898,8.8631928,0.15349123526151665,8.778903062031718,2.5107911999999994
