YEAR,battery-technology,bioenergy-power,coal-subcritical,coal-supercritical,coal-ultrasupercritical,gas-CCGT,gas-OCGT,geo-power,hydropower,oil-internal-combustion-engine,solar-pv,windonshore-power
2023,0.0,14.358656160005744,212.47384677042703,56.140387200022445,0.0,68.77481147494831,5.928515712002372,43.973798400017586,30.141541152,4.64791443840186,8.26714926,3.0713436
2024,4.712174494782753,18.228936988807295,181.35649716507254,49.61697638401985,5.370488109848871,93.83026594291884,5.081584896002033,60.02712277330876,32.2115296601,4.72718522016189,22.2889315608,4.0384476
2025,5.333071724544073,19.114467868807644,151.55633952006062,47.30778432001892,8.436736090378215,122.75757586316092,4.234654080001695,71.4548888995467,33.7873047401,3.718314521281487,36.884326160149996,8.970007859999999
2026,6.574484834351106,20.571568900880035,118.07753901124724,42.61447065601703,19.867680000007947,153.808453329809,3.3877232640013553,84.77181855188262,33.7873047401,3.517312256641407,43.63828721135,17.735904215999998
2027,4.6991799123507665,25.779573864707274,94.74364459927907,74.78853581083384,19.867680000007947,170.98693056006837,2.5407924480010164,90.80301461951987,33.7873047401,2.280751637760912,43.96575703535,18.345179736
2028,5.289762591602692,25.779573864707274,131.0715058079287,88.7801472000355,19.867680000007947,170.98693056006837,1.6938616320006776,80.95116821951594,33.7873047401,1.437562883520575,43.96575703535,18.345179736
2029,5.354474001406366,25.779573864707217,246.04354851440922,88.7801472000355,19.867680000007947,99.18973046777705,0.8469308160003388,80.95116821951594,33.8315970521,0.8431887542403371,43.96575703535,18.345179736
2030,5.193262567667624,25.779573864707274,246.20596704009844,88.7801472000355,34.54098675103715,118.29801780956208,0.0,85.67375570111786,42.299578746752104,0.0,43.96575703535,18.345179736
2031,6.703450519307774,36.1972549649909,246.20596704009844,88.7801472000355,73.72034767689632,111.50343339768752,0.0,71.46153170111214,45.919977296682795,0.0,59.42183946707476,18.345179736
2032,8.270234023007577,40.84334342140755,244.7959355629909,88.7801472000355,90.49234614895957,113.63551444425025,0.11388385440001125,84.07593170111718,55.38339489240168,0.0,65.64556604587527,18.345179736
2033,11.157320670404975,49.97701370568944,226.46903903882304,88.7801472000355,129.3679319458917,108.03835599298667,0.11214937440001572,84.07593170111716,59.03015701359844,0.0,91.33699167468343,18.145714535999996
2034,12.607237543476927,60.93741804682771,207.15570457204905,88.7801472000355,169.13678016957974,103.19241441266148,0.0,84.07593170111718,65.81365548799444,0.0,114.31783845187121,18.145714535999996
2035,14.284677397504021,73.46549045619332,192.19299840002705,83.91583259254908,211.10536800573752,93.9786488055206,0.0,84.07593170111718,77.081817470241,0.0,136.81603291858042,18.145714535999996
2036,20.033472806971137,82.69232756957814,192.19299840002705,65.763072,247.98001930545726,92.20390381159993,0.11214937440000952,84.07593170111718,81.6783149939502,0.0,168.71128042798034,18.145714535999996
2037,52.60947859664286,82.78604075361525,192.19299840002705,68.49096283349053,256.9018460579961,102.02550778267903,0.1121493743999882,84.0759317011172,85.99426601669664,0.0,208.71917869713945,18.145714535999996
2038,78.77602565960716,82.9270949164506,192.19299840002705,71.85176147406308,260.3681328576163,121.16305829305551,1.848338625599987,84.07593170111718,94.08553922045174,0.0,242.34154473495732,18.145714535999996
2039,85.50805633356889,82.92709491645057,192.19299840002705,70.03328832539685,263.7869362764197,158.36345578440665,1.848338625599947,84.07593170111718,96.11415532742475,0.0,274.5121898495335,18.145714535999996
2040,101.4131491546597,82.92709491645061,185.85250208525565,71.66753543149113,266.7649641097833,201.86097439403125,1.8483386256000287,84.07593170111718,96.98094574821307,0.0,308.87615227779986,18.145714535999996
2041,101.57322989477252,86.85014400003477,185.99264852235393,70.82460397208074,267.4662938562532,235.3810862254467,1.8483386256000003,84.07593170111718,113.72579596915948,0.0,333.8006243202292,18.145714535999996
2042,123.33849248887347,86.85014400003477,186.51651840002702,70.45986662563234,262.48419028987684,277.49855892038437,1.8614786255999913,84.07593170111718,115.01815176746689,0.0,380.7117462455294,16.634614535999997
2043,120.38822863452731,70.44091200000943,174.90109284564252,71.89328915940254,263.95236116790886,346.86737536608024,0.09900937439998155,84.07593170111718,118.07917367834267,0.0,424.6146562727537,15.854098535999999
2044,125.14946434586388,70.44091200000942,142.77403133856438,79.18038113923664,268.55426771063253,450.68124130077194,0.0,84.07593170111718,118.0791736783427,0.0,435.4711807958078,15.854098535999999
2045,127.80356556132512,74.34531144120412,106.20535385607958,88.59287753357879,268.55426771063253,565.1674371979423,0.0,82.33514450111649,118.07917367834268,0.0,445.97753215991077,15.854098535999999
2046,143.3552254598063,86.85014400003475,96.44994529646307,76.41502172088852,268.5542677106325,680.9187015507425,0.0,82.33514450111646,118.07917367834266,0.0,445.5435967999108,15.854098535999999
2047,152.67557450395987,86.85014400003475,79.11958310208884,60.77855542469169,268.55426771063253,828.275388181524,0.0,82.33514450111649,118.0791736783427,0.0,443.5838236159091,15.757388135999998
2048,157.51071759285531,86.85014400003475,67.84895907949206,36.207876902007,268.5542677106325,984.0514407726745,0.0,82.33514450111649,118.0791736783427,0.0,442.53796371190913,15.757388135999998
2049,159.90074763624997,86.85014400003476,53.51044164621059,31.231449208140443,238.3110295367413,1169.9181904193197,0.0,82.03239890111637,118.07917367834268,0.0,432.6431826247091,15.757388135999998
2050,156.62608542928848,86.15528608323447,50.7295179011133,27.2204842514073,180.31601652470403,1380.9470625113256,0.0,82.03239890111637,118.07917367834267,5.312852432681721,415.5611479351191,15.757388135999998
