YEAR,PHL-LU,PHL-MI,PHL-VI
2023,60.86822532930085,8.991407590037264,4.945811889285177
2024,54.82930835443621,7.533024944547013,4.287922822819861
2025,50.15079061921559,6.3573456458905415,3.5932058147963493
2026,48.62991284539081,4.3583708013857425,2.8762166741028437
2027,52.193101903458086,4.386835035460074,2.473334541714653
2028,60.28095863596863,9.460307637352004,5.074546656485256
2029,75.36000000000423,10.245123972004096,6.217915311681305
2030,76.74327706933887,13.33532237377077,6.187383067682475
2031,81.46000000000446,14.480000000000002,8.02
2032,84.12000000000457,14.950000000000003,8.280000000000001
2033,86.77000000000433,15.420000000000002,8.550000000000002
2034,89.4300000000042,15.890000000000004,8.809999999999999
2035,92.09000000000377,16.360000000000003,9.069999999999999
2036,94.70000000000377,16.830000000000005,9.329999999999998
2037,97.32000000000413,17.290000000000003,9.579999999999998
2038,99.94000000000491,17.76000000000001,9.839999999999998
2039,102.56000000000643,18.220000000000006,10.099999999999998
2040,105.17000000000812,18.69000000000001,10.1
2041,107.49000000000943,19.100000000000005,10.099999999999998
2042,109.81000000001116,19.224000000045233,10.099999999999998
2043,112.13000000001337,19.462499460689088,10.86977717990866
2044,114.44000000001682,20.34000000000055,11.270000000000602
2045,116.76000000002071,20.75000000000083,11.500000000001034
2046,120.13000000002461,21.350000000001042,11.830000000001533
2047,123.49000000002926,21.940000000002076,12.160000000001837
2048,126.8500000000338,22.540000000002873,12.490000000002658
2049,130.2200000000393,23.140000000003504,12.820000000003933
2050,133.58000000004807,23.74000000000464,13.15000000000462
