YEAR,battery-technology,bioenergy-power,coal-subcritical,coal-supercritical,coal-ultrasupercritical,gas-CCGT,gas-CCGT-CCS,gas-OCGT,geo-power,hydropower,nuclear-power,oil-internal-combustion-engine,solar-pv,windoffshore-power,windonshore-power
2023,0.0,14.358656160005744,212.47382843782495,56.140387200022445,0.0,68.7748114749448,0.0,5.928515712002372,43.973798400017586,30.141541152,0.0,4.647914438401859,8.26714926,0.0,3.0713436
2024,3.7772230847823445,18.228936988807295,181.3564971650725,49.61697638401985,0.0,98.2597128857902,0.0,5.081584896002033,60.96809268677082,32.2115296601,0.0,4.727185220161891,22.2889315608,0.0,4.0384476
2025,4.224617628294317,19.114467868807647,151.55633952006065,47.30778432001892,0.0,130.25327078656144,0.0,4.234654080001699,72.39586963498697,33.7873047401,0.0,3.718314521281487,36.884326160149996,0.0,8.970007859999999
2026,4.09968,19.114467868807647,118.07753901124724,42.61447065601704,8.092123272638373,160.04300480010883,0.0,3.3877232640013553,87.16984864192952,33.7873047401,0.0,3.517312256641407,43.63828721135,4.599964090091875,17.735904215999998
2027,5.28318292364606,18.887408668807556,92.78138442243711,63.861280658448685,19.867680000007947,170.9869305600684,0.0,2.5407924480010164,99.05802688963796,33.7873047401,0.0,2.280751637760912,45.50617316993119,9.986213985407495,18.345179736
2028,2.973280675600115,18.887408668807556,111.88022849338088,88.7801472000355,19.867680000007947,170.98693056006837,0.0,1.6938616320006776,89.20618048963401,33.7873047401,0.0,1.437562883520575,45.50617316993119,16.288126362926768,18.345179736
2029,3.9046767122275012,18.887408668807556,116.08789929070787,88.7801472000355,19.867680000007947,202.20757056008088,0.0,0.8469308160003388,89.20618048963402,33.8315970521,0.0,0.8431887542403371,45.87941592695176,23.66136384462432,18.345179736
2030,3.2463671639665987,21.391311955876784,119.67626294856113,88.78014720003551,19.867680000007947,173.9540769491762,0.0,0.0,113.57257762864113,42.1608853721,0.0,0.0,73.85285000307212,32.28805169821045,18.345179736
2031,6.251531077465272,39.40038154449764,116.55267063659439,69.6896091873336,19.867680000007947,176.00388972782446,0.0,0.0,110.34006416842033,50.298709947646515,0.0,0.0,108.67625420576046,42.38127648690623,18.345179736
2032,7.967854224000003,56.816944253400976,102.15610249428514,65.763072,14.7168,180.17284533182794,7.938833900849322e-14,0.0,119.58451200004782,56.51221195091927,0.0,0.0,133.85333230186774,54.19034948968029,18.345179736
2033,9.956032166598906,69.14533470408156,84.87547164282357,60.85832814930703,14.7168,182.01770133182868,5.142137344800352e-14,0.0,119.58451200004784,98.73034176203493,0.0,0.0,133.85333230186774,68.00696490292594,23.54493056718082
2034,11.205792,83.93940324489826,70.48088004502245,56.57301651196249,14.7168,173.98761713376365,0.0,0.0,119.58451200004782,134.92706703224852,0.0,0.0,133.85333230186774,84.17240493642335,39.32100876360156
2035,12.614400000000002,86.85014400003475,50.727929234921085,42.34116839231971,14.7168,210.13642087366455,0.0,0.0,119.58451200004782,138.22179840361994,0.0,0.0,141.6160807703675,103.08596977561533,63.49754825341383
2036,47.22163154477524,86.85014400003475,37.86364980297531,32.73522791214498,14.7168,220.12058005902236,0.0,0.0,119.58451200004782,138.28528368289994,0.0,0.0,173.5207242133488,125.21484063746992,84.66470312572186
2037,65.36895515696486,86.85014400003475,30.544993662864417,19.794138068783226,14.7168,221.62334017825881,23.445798111168433,0.0,119.58451200004784,138.34876896217995,0.0,0.0,189.17792259994334,151.1056195458398,104.25334318407472
2038,72.2678879372387,86.85014400003477,26.40473172792564,12.452519439817422,7.3373574391024725,216.05261510353114,51.332528468458726,0.0,119.58451200004782,138.41225424145995,0.0,0.0,194.79074707533258,181.39783086863258,134.38570077088355
2039,82.81059927330169,86.85014400003473,22.306717363751556,8.712648133997968,3.6792,189.63656102719963,88.13154420285693,0.0,119.58451200004784,138.47573952073995,0.0,0.0,210.23050881846365,216.8397181163001,157.5535810851246
2040,94.96071470690713,86.85014400003475,18.208702999577525,1.8997799055428515,3.567920132392888,162.7734283223088,127.01182854369866,0.0,119.58451200004782,138.53922480001995,0.0,0.0,215.68843448502113,258.3067261960711,186.57005850150136
2041,100.0,86.85014400003476,16.223067173637517,0.0,0.9793359105857837,154.02724803714204,129.69725831662467,0.0,119.58451200004784,138.53922480001995,16.28026300679278,0.0,215.0311401490211,309.1113134672893,211.7882629076799
2042,102.15312670903569,86.85014400003475,13.380244014628204,0.0,0.0,137.70469671508934,135.50135501355012,0.0,119.58451200004782,138.53922480001995,37.13340360815838,0.0,212.73921404502113,370.54287675672845,230.13603193751624
2043,100.0,86.85014400003475,8.081349089768107,0.0,0.7171587590113571,124.81707225248046,135.5013550135502,0.0,119.58451200004782,138.53922480001995,64.67121945432807,0.0,212.42353868502113,445.76025007919566,233.83260719999998
2044,100.30520466483503,85.1773967277055,4.27307487388711,0.0,0.6040757654560942,109.75894768347015,135.50135501355015,0.0,119.58451200004785,138.53922480001995,91.54698305968923,0.0,212.42353868502113,533.8700685926589,233.83260719999998
2045,99.99999999999999,71.43023980319244,2.501704963903849,0.0,0.0,88.64001001854979,135.50135501355012,0.0,119.58451200004782,138.53922480001995,127.75413967163426,0.646836750631906,212.18946272502114,634.4916779683898,233.83260719999998
2046,100.0,69.60400416580029,0.8170495745945084,0.0,0.42157131426296324,80.93549190008827,135.5013550135509,0.0,119.58451200004782,138.53922480001995,129.79506256925163,0.0,211.75552736502115,750.2141883347193,233.83260719999998
