YEAR,carbon-capture-and-storage-transmission-and-distribution,coal-subcritical,coal-supercritical,coal-supercritical-CCS,coal-ultrasupercritical,gas-CCGT,gas-CCGT-CCS,gas-OCGT,oil-internal-combustion-engine
2023,0.0,53.64726245398458,13.910737831815172,0.0,0.0,5.6395345409454745,0.0,0.8714918096643485,0.7060182031932425
2024,0.0,43.913197500514045,12.477295233073953,0.0,0.0,8.057296456634797,0.0,0.7469929797122987,0.7180594349425913
2025,0.0,35.873385564398355,11.197752548548479,0.0,0.0,10.68076820449804,0.0,0.6224941497602496,0.564811975782658
2026,0.0,27.94895348396222,10.086845204279234,0.0,1.7042011612176413,13.123526393608925,0.0,0.49799531980819917,0.5342797317838297
2027,0.0,23.494384586928888,16.845620782346153,0.0,4.184133408001673,14.02092830592561,0.0,0.37349648985614936,0.3464461737758826
2028,0.0,26.6925038199716,21.645622049013433,0.0,4.184133408001673,14.020928305925608,0.0,0.24899765990409958,0.21836580200677536
2029,0.0,27.47800576211055,21.014260842248405,0.0,4.184133408001673,16.581020785926636,0.0,0.12449882995204979,0.12808037176910725
2030,0.0,28.32737143992442,21.014260842248405,0.0,4.184133408001673,14.26423430983245,0.0,0.0,0.0
2031,0.0,27.58801713968189,16.495530494641862,0.0,4.184133408001673,14.432318957681606,0.0,0.0,0.0
2032,0.0,24.180349460397295,15.566119142399998,0.0,3.0993580799999996,14.774173317209891,6.509843798696445e-15,0.0,0.0
2033,0.0,20.09002413785634,14.405166272940974,0.0,3.0993580799999996,14.925451509209953,4.2165526227362885e-15,0.0,0.0
2034,0.0,16.682824306656812,13.39083300838152,0.0,3.0993580799999996,14.266984604968622,0.0,0.0,0.0
2035,0.0,12.007300849905821,10.022154558462075,0.0,3.0993580799999996,17.231186511640495,0.0,0.0,0.0
2036,0.0,8.962325908364257,7.748428446804716,0.0,3.0993580799999996,18.049887564839832,0.0,0.0,0.0
2037,-1.7302999006049227,7.2300000000000075,4.68527248088099,0.0,3.0993580799999996,18.173113894617224,1.9225554451158118,0.0,0.0
2038,-3.7883406009737697,6.249999999999998,2.947511351404784,0.0,1.5452474766749809,17.716314438489555,4.209267334413616,0.0,0.0
2039,-6.504107962173444,5.279999999999994,2.062283813317319,0.0,0.7748395199999999,15.55019800423037,7.2267866246342685,0.0,0.0
2040,-9.373472946528711,4.31,0.44967790364199295,0.0,0.7514039798819423,13.34742112242932,10.41496994058329,0.0,0.0
2041,-9.57165766377073,3.8400000000000007,0.0,0.0,0.20624814276936607,12.63023433904565,10.635175181963223,0.0,0.0
2042,-10.000000000003999,3.167103758262496,0.0,0.0,0.0,11.291785130637328,11.11111111111111,0.0,0.0
2043,-10.000000000004006,1.912855329548111,0.0,0.0,0.15103363464779182,10.234999924703398,11.111111111111118,0.0,0.0
2044,-10.000000000004002,1.0114368226490789,0.0,0.0,0.12721835620505342,9.000233710044554,11.111111111111112,0.0,0.0
2045,-10.000000000004,0.5921535649560411,0.0,0.0,0.0,7.268480821521083,11.11111111111111,0.0,0.09825450242098654
2046,-10.000000000004057,0.19339563430652015,0.0,0.0,0.08878291878378006,6.636710335807238,11.111111111111175,0.0,0.0
2047,-10.00000000000399,0.043395634306519756,0.0,0.0,0.0,5.825493254590632,11.1111111111111,0.0,0.0
2048,-10.00000000000401,-4.625594645055051e-15,0.0,0.0,0.0,4.808888888896658,11.111111111111121,0.0,0.0
2049,-10.000000000004,0.0,0.0,0.0,0.0,3.7688888888961456,11.11111111111111,0.0,0.0
2050,-10.000000000004015,0.0,0.0,0.0,0.0,2.6988888888956244,11.111111111111125,0.0,0.0
