YEAR,battery-technology,bioenergy-power,coal-subcritical,coal-supercritical,coal-ultrasupercritical,gas-CCGT,gas-CCGT-CCS,gas-OCGT,geo-power,hydropower,nuclear-power,oil-internal-combustion-engine,solar-pv,transmission,windoffshore-power,windonshore-power,battery-storage
2023,0.0,0.5059,8.2996,1.978,0.0,2.7344,0.0,0.373,1.743,3.6188000000000002,0.0,3.03836,1.6275,34.089999999999996,0.0,0.469,19.481916401160607
2024,0.48000000000000004,0.642262,8.7496,2.428,0.7,6.0244,0.0,0.373,2.416606920929511,3.8610310000000005,0.0,3.2277340000000003,4.40633,34.089999999999996,0.0,0.629,19.481916401160607
2025,0.53,0.673462,8.7496,2.778,0.7,6.0244,0.0,0.373,2.869572458260324,4.051231,0.0,3.2837340000000004,7.2832159999999995,34.089999999999996,0.0,1.43915,19.481916401160607
2026,0.53,0.673462,8.5396,3.128,0.7,6.0244,0.0,0.373,3.455172209613404,4.051231,0.0,3.2837340000000004,8.615586,34.089999999999996,0.3996271354235463,2.67114,19.481916401160607
2027,0.53,0.665462,8.9446,3.128,0.7,6.0244,0.0,0.373,3.9263867837391544,4.051231,0.0,3.2837340000000004,8.978026762615258,34.089999999999996,0.8675637484455492,2.77194,19.481916401160607
2028,0.53,0.665462,8.9446,3.128,0.7,6.0244,0.0,0.373,3.535886783739154,4.051231,0.0,3.2837340000000004,8.978026762615258,34.089999999999996,1.4150495856812926,2.77194,19.481916401160607
2029,0.53,0.665462,8.9446,3.128,0.7,7.1244,0.0,0.373,3.535886783739154,4.056531,0.0,3.2837340000000004,9.051998326268876,34.089999999999996,2.0556080152471123,2.77194,19.481916401160607
2030,0.53,0.7536822804227362,8.6746,3.128,0.7,7.1244,0.0,0.373,4.501703514578334,5.088531,0.0,3.2517340000000003,14.58394194245339,34.089999999999996,2.8050613778391216,2.77194,19.481916401160607
2031,0.664,1.3881976698406167,8.6746,3.128,0.7,7.1894,0.0,0.373,4.373575602818024,6.099402899964508,0.0,2.5240375264059054,21.481360779128543,34.089999999999996,3.6819218120717725,2.77194,19.481916401160607
2032,0.798,2.0018372038087398,8.6746,3.128,0.7,7.2543999999999995,0.0,0.373,4.739999999999999,6.8719435510016575,0.0,2.8295730316870866,26.427774329898273,34.57504186291318,4.7078485201239735,2.77194,19.481916401160607
2033,0.932,2.4362046445704877,8.6746,3.128,0.7,7.3194,0.0,0.373,4.739999999999999,11.841953105374799,0.0,3.196215638024504,26.427774329898273,35.25921690216249,5.908182768545049,3.361514608087587,19.481916401160607
2034,1.066,2.957445573484586,8.6086,3.128,0.7,7.384399999999999,0.0,0.373,4.739999999999999,16.24384571428571,0.0,3.3661867656294047,26.427774329898273,36.02189361592831,7.312573839197707,5.532972091462477,19.481916401160607
2035,1.2,3.0599999999999996,8.3086,3.128,0.7,9.395187697781934,0.0,0.373,4.739999999999999,16.611134999999997,0.0,2.77046349058764,27.927196497361656,36.93981070171564,8.955711391861318,8.873577347011098,19.481916401160607
2036,4.49216434025632,3.0599999999999996,8.3086,3.128,0.7,9.460187697781933,0.0,0.373,4.739999999999999,16.618907999999994,0.0,2.77998349058764,34.1182240753467,39.32862420837719,10.878182328477742,11.796650671644013,19.481916401160607
2037,6.174146723673402,3.0599999999999996,8.3086,3.128,0.7,9.525187697781933,0.82606820110901,0.373,4.739999999999999,16.626680999999994,0.0,2.8245394093179703,37.157132579994844,41.83581168231429,13.127473324318958,14.691113931136279,19.481916401160607
2038,6.837653457129125,3.0599999999999996,8.3086,3.128,0.7,9.590187697781932,1.808604221927546,0.373,4.739999999999999,16.634453999999995,0.0,3.1943700308260508,38.2524033280316,44.48252267504573,15.759143789453182,19.061008397757817,19.481916401160607
2039,7.796467906405818,3.0599999999999996,8.3086,3.128,0.7,9.655187697781933,3.105147704310461,0.373,4.739999999999999,16.642226999999995,0.0,3.7816790546994232,41.25773856767101,47.260300954903315,18.838198233660222,22.786179825376646,19.481916401160607
2040,9.033553529956912,3.0599999999999996,8.038599999999999,3.128,0.7,9.720187697781933,4.689584701235079,0.373,4.739999999999999,16.649999999999995,0.0,4.207573134699423,42.31197016695654,50.19028508030337,22.44069193338246,27.144630395690676,19.481916401160607
2041,9.512937595129376,3.0600000000000005,8.038599999999999,3.128,0.7,10.382937145386292,4.955883516801545,0.373,4.739999999999999,16.649999999999995,0.5736041704290454,4.207573134699423,42.18287016695654,53.20060225461524,26.86953966444064,31.08016132820073,19.481916401160607
2042,11.495218302798179,3.0600000000000005,8.038599999999999,3.128,0.7,9.960628565260492,5.599785069922643,0.373,4.739999999999999,16.649999999999995,1.3083250045148547,4.207573134699423,41.735470166956546,56.39695257610177,32.237361407395554,33.958429742822815,19.481916401160607
2043,14.382784478626434,3.0600000000000005,8.038599999999999,3.128,0.7,9.204037489738598,6.025311123023966,0.373,4.739999999999999,16.649999999999995,2.2785676847025713,4.207573134699423,41.67447016695654,59.77087444317434,38.90547460021477,34.56999999999999,19.481916401160607
2044,16.99470385838731,3.0600000000000005,8.038599999999999,3.128,0.7,9.522347534183876,6.445079671496869,0.373,4.739999999999999,16.649999999999995,3.225484210625346,4.207573134699423,41.67447016695654,63.36042289573648,46.71940528225128,34.56999999999999,19.481916401160607
2045,20.353405025307673,3.0600000000000005,8.038599999999999,3.128,0.7,9.735832464497273,6.445079671496869,0.373,4.739999999999999,16.649999999999995,4.501174660056354,4.207573134699423,41.62847016695654,67.16559793378823,55.861704180234,34.56999999999999,19.481916401160607
